run	id
ptyr100	AID0485-fq1
ptyr100	AID3417-fq1
ptyr100	AID2867-fq1
ptyr100	AID2867-fq2
ptyr100	AID3527-fq1
ptyr100	AID6504-fq1
ptyr100	AID8785-fq1
ptyr100	AID0576-fq1
ptyr100	AID4633-fq1
ptyr101	AID1591-fq1
ptyr101	AID8099-fq1
ptyr101	AID7967-fq1
ptyr101	AID4603-fq1
ptyr101	AID5900-fq1
ptyr101	AID1593-fq2
ptyr101	AID6839-fq1
ptyr101	AID8186-fq1
ptyr101	AID1593-fq1
ptyr102	AID0212-fq1
ptyr102	AID4944-fq1
ptyr102	AID1695-fq1
ptyr102	AID4519-fq1
ptyr102	AID1025-fq1
ptyr102	AID9090-fq1
ptyr102	AID7456-fq1
ptyr102	AID7602-fq1
ptyr102	AID1695-fq2
ptyr103	AID3249-fq1
ptyr103	AID5920-fq1
ptyr103	AID3760-fq1
ptyr103	AID4555-fq1
ptyr103	AID8595-fq1
ptyr103	AID6075-fq1
ptyr103	AID8595-fq2
ptyr103	AID6998-fq1
ptyr103	AID1379-fq1
ptyr104	AID1243-fq1
ptyr104	AID4871-fq1
ptyr104	AID4871-fq3
ptyr104	AID3294-fq1
ptyr104	AID5999-fq1
ptyr104	AID4353-fq1
ptyr104	AID7479-fq1
ptyr104	AID5543-fq1
ptyr104	AID8905-fq1
ptyr104	AID4871-fq2
ptyr105	AID1974-fq1
ptyr105	AID6009-fq1
ptyr105	AID2121-fq1
ptyr105	AID4775-fq1
ptyr105	AID6912-fq1
ptyr105	AID8570-fq1
ptyr105	AID3767-fq1
ptyr105	AID6095-fq1
ptyr105	AID1974-fq2
ptyr106	AID0211-fq1
ptyr106	AID7271-fq1
ptyr106	AID2229-fq1
ptyr106	AID7148-fq1
ptyr106	AID1245-fq1
ptyr106	AID5767-fq1
ptyr106	AID8385-fq1
ptyr106	AID5614-fq1
ptyr107	AID0647-fq1
ptyr107	AID4906-fq1
ptyr107	AID4454-fq1
ptyr107	AID8288-fq1
ptyr107	AID3895-fq1
ptyr107	AID6877-fq1
ptyr107	AID4485-fq1
ptyr107	AID6092-fq1
ptyr108	AID0351-fq1
ptyr108	AID2900-fq1
ptyr108	AID4741-fq1
ptyr108	AID3517-fq1
ptyr108	AID4539-fq1
ptyr108	AID5972-fq1
ptyr108	AID8633-fq1
ptyr108	AID5930-fq1
ptyr109	AID3523-fq1
ptyr109	AID4862-fq1
ptyr109	AID4918-fq1
ptyr109	AID7567-fq1
ptyr109	AID5307-fq1
ptyr109	AID7858-fq1
ptyr109	AID7278-fq1
ptyr109	AID8142-fq1
ptyr10	AID2134-fq1
ptyr10	AID4227-fq1
ptyr10	AID3628-fq1
ptyr10	AID4487-fq2
ptyr10	AID4487-fq1
ptyr10	AID5029-fq1
ptyr10	AID7392-fq1
ptyr10	AID7595-fq1
ptyr10	AID7991-fq1
ptyr110	AID0965-fq1
ptyr110	AID0965-fq3
ptyr110	AID0965-fq2
ptyr110	AID0965-fq4
ptyr110	AID3382-fq1
ptyr110	AID3382-fq2
ptyr110	AID7743-fq1
ptyr110	AID3138-fq1
ptyr110	AID7105-fq1
ptyr110	AID3743-fq1
ptyr110	AID6639-fq1
ptyr110	AID2014-fq1
ptyr111	AID0626-fq1
ptyr111	AID3637-fq1
ptyr111	AID3481-fq1
ptyr111	AID7299-fq1
ptyr111	AID1499-fq1
ptyr111	AID8105-fq1
ptyr111	AID3456-fq1
ptyr111	AID3456-fq2
ptyr111	AID0509-fq1
ptyr112	AID1835-fq1
ptyr112	AID8170-fq1
ptyr112	AID8170-fq2
ptyr112	AID2156-fq1
ptyr112	AID2156-fq2
ptyr112	AID3737-fq1
ptyr112	AID6649-fq1
ptyr112	AID7822-fq1
ptyr112	AID7822-fq2
ptyr112	AID3153-fq1
ptyr112	AID8866-fq1
ptyr113	AID4190-fq1
ptyr113	AID8387-fq1
ptyr113	AID5806-fq1
ptyr113	AID8726-fq1
ptyr113	AID5990-fq1
ptyr113	AID8241-fq1
ptyr113	AID8280-fq1
ptyr113	AID8463-fq1
ptyr114	AID0215-fq1
ptyr114	AID8773-fq1
ptyr114	AID0215-fq2
ptyr114	AID8773-fq2
ptyr114	AID0870-fq1
ptyr114	AID4222-fq1
ptyr114	AID0870-fq2
ptyr114	AID0215-fq3
ptyr114	AID1423-fq1
ptyr114	AID6129-fq1
ptyr114	AID6543-fq1
ptyr114	AID6633-fq1
ptyr115	AID2260-fq1
ptyr115	AID2486-fq1
ptyr115	AID7255-fq1
ptyr115	AID7255-fq2
ptyr115	AID7795-fq1
ptyr115	AID3450-fq1
ptyr115	AID6596-fq1
ptyr116	AID0727-fq1
ptyr116	AID6301-fq1
ptyr116	AID1070-fq1
ptyr116	AID1515-fq1
ptyr116	AID2260-fq1
ptyr116	AID2486-fq1
ptyr117	AID0592-fq1
ptyr117	AID5174-fq1
ptyr117	AID6030-fq1
ptyr117	AID8856-fq1
ptyr117	AID8856-fq2
ptyr117	AID8897-fq1
ptyr117	AID8897-fq3
ptyr117	AID8897-fq4
ptyr117	AID1221-fq1
ptyr117	AID8897-fq2
ptyr117	AID8274-fq1
ptyr117	AID5801-fq1
ptyr118	AID0207-fq1
ptyr118	AID1581-fq1
ptyr118	AID8173-fq1
ptyr118	AID4006-fq1
ptyr118	AID4006-fq2
ptyr118	AID4616-fq1
ptyr118	AID8961-fq1
ptyr118	AID6929-fq1
ptyr119	AID4297-fq1
ptyr119	AID8064-fq1
ptyr119	AID4535-fq1
ptyr119	AID7429-fq1
ptyr119	AID1197-fq1
ptyr119	AID4535-fq2
ptyr119	AID2725-fq1
ptyr119	AID4307-fq1
ptyr119	AID3086-fq1
ptyr11	AID2736-fq1
ptyr11	AID8699-fq1
ptyr11	AID5809-fq1
ptyr11	AID5963-fq1
ptyr11	AID5655-fq1
ptyr11	AID8090-fq1
ptyr11	AID4320-fq1
ptyr11	AID4651-fq1
ptyr120	AID7475-fq1
ptyr120	AID7475-fq2
ptyr120	AID7600-fq1
ptyr120	AID0424-fq1
ptyr120	AID7475-fq3
ptyr120	AID1479-fq1
ptyr120	AID0932-fq1
ptyr120	AID6834-fq1
ptyr120	AID1006-fq1
ptyr120	AID3439-fq1
ptyr121	AID0670-fq1
ptyr121	AID5081-fq1
ptyr121	AID5673-fq1
ptyr121	AID7600-fq1
ptyr121	AID7836-fq1
ptyr121	AID5272-fq1
ptyr121	AID6058-fq1
ptyr122	AID0851-fq1
ptyr122	AID2874-fq1
ptyr122	AID2281-fq1
ptyr122	AID2044-fq1
ptyr122	AID3909-fq1
ptyr122	AID3909-fq2
ptyr122	AID7031-fq1
ptyr122	AID7031-fq2
ptyr122	AID8998-fq1
ptyr122	AID9019-fq1
ptyr123	AID6470-fq1
ptyr123	AID6470-fq2
ptyr123	AID6783-fq1
ptyr123	AID7038-fq1
ptyr123	AID8014-fq1
ptyr123	AID7076-fq3
ptyr123	AID0357-fq1
ptyr123	AID7720-fq1
ptyr123	AID7076-fq1
ptyr123	AID5050-fq1
ptyr124	AID1708-fq1
ptyr124	AID1892-fq1
ptyr124	AID7900-fq1
